index,prediction
127197,1.2 inch
127198,0
127199,0
127200,61 cm
127201,61 cm
127202,0
127203,0
127204,0
127205,0
127206,0
127207,0
127208,0
127209,0
127210,0
127211,0
127212,0
127213,0
127214,0
127215,22 cm
127216,22 cm
127217,0
127218,1000 watt
127219,0
127220,0
127221,0
127222,0
127223,0
127224,0
127225,0
127226,0
127227,0
127228,0
127229,0
127230,6.9 inch
127231,0
127232,0
127233,5 cm
127234,0
127235,0
127236,0
127237,0
127238,0
127239,0
127240,0
127241,0
127242,0
127243,0
127244,0
127245,0
127246,0
127247,0
127248,0
127249,0
127250,0
127251,0
127252,0
127253,0
127254,0
127255,0
127256,0
127257,0
127258,120 watt
127259,0
127260,0
127261,0
127262,0
127263,0
127264,0
127265,0
127266,0
127267,0
127268,0
127269,0
127270,0
127271,0
127272,0
127273,0
127274,0
127275,0
127276,0
127277,0
127278,2.41 mm
127279,2.41 mm
127280,0
127281,0
127282,0
127283,30 inch
127284,0
127285,100 inch
127286,0
127287,0
127288,0
127289,0
127290,0
127291,9 inch
127292,0
127293,0
127294,0
127295,0
127296,0
127297,0
127298,0
127299,40 mm
127300,40 mm
127301,0
127302,0
127303,0
127304,0
127305,0
127306,0
127307,0
127308,19 cm
127309,0
127310,0
127311,0
127312,0
127313,0
127314,0
127315,14 mm
127316,0
127317,0
127318,65.5 mm
127319,0
127320,0
127321,0
127322,0
127323,0
127324,0
127325,0
127326,0
127327,0
127328,0
127329,0
127330,0
127331,0
127332,0
127333,0
127334,0
127335,0
127336,0
127337,0
127338,0
127339,0
127340,0
127341,0
127342,1000 watt
127343,0
127344,0
127345,0
127346,0
127347,0
127348,0
127349,0
127350,0
127351,0
127352,0
127353,0
127354,0
127355,0
127356,0
127357,0
127358,0
127359,0
127360,0
127361,0
127362,0
127363,0
127364,0
127365,120 mm
127366,0
127367,0
127368,800 watt
127369,0
127370,0
127371,0
127372,0
127373,0
127374,0
127375,0
127376,0
127377,0
127378,0
127379,20 mm
127380,27 mm
127381,0
127382,32 inch
127383,0
127384,0
127385,0
127386,0
127387,0
127388,0
127389,16 inch
127390,23.8 cm
127391,0
127392,0
127393,0
127394,0
127395,0
127396,0
127397,0
127398,0
127399,0
127400,0
127401,0
127402,0
127403,0
127404,0
127405,0
127406,0
127407,0
127408,0
127409,0
127410,164.4 mm
127411,0
127412,0
127413,0
127414,0
127415,0
127416,0
127417,0
127418,5000 mm
127419,0
127420,0
